Experiment: custom | Dataset: cifar100
------------------------------------------------------------

Class-wise Metrics:
        Class  Precision   Recall  F1-Score  Support
      hamster   0.139344 0.346939  0.198830       98
        house   0.152318 0.237113  0.185484       97
     kangaroo   0.094595 0.072917  0.082353       96
     keyboard   0.235294 0.041237  0.070175       97
         lamp   0.058824 0.010417  0.017699       96
   lawn_mower   0.426667 0.326531  0.369942       98
      leopard   0.090592 0.536082  0.154993       97
         lion   0.110442 0.555556  0.184255       99
       lizard   0.083333 0.010101  0.018018       99
      lobster   0.159091 0.074468  0.101449       94
          man   0.210526 0.082474  0.118519       97
   maple_tree   0.312500 0.200000  0.243902      100
   motorcycle   0.225225 0.505051  0.311526       99
     mountain   0.315068 0.239583  0.272189       96
        mouse   0.000000 0.000000  0.000000       96
     mushroom   0.000000 0.000000  0.000000       96
     oak_tree   0.365385 0.775510  0.496732       98
       orange   0.328358 0.687500  0.444444       96
       orchid   0.125000 0.030303  0.048780       99
        otter   0.000000 0.000000  0.000000       97
    palm_tree   0.285714 0.020619  0.038462       97
         pear   0.283582 0.195876  0.231707       97
 pickup_truck   0.111111 0.010417  0.019048       96
    pine_tree   0.109890 0.103093  0.106383       97
        plain   0.472000 0.602041  0.529148       98
        plate   0.189655 0.111111  0.140127       99
        poppy   0.250000 0.319588  0.280543       97
    porcupine   0.063776 0.252525  0.101833       99
       possum   0.000000 0.000000  0.000000       97
       rabbit   0.000000 0.000000  0.000000       97
      raccoon   0.098765 0.082474  0.089888       97
          ray   0.145455 0.161616  0.153110       99
         road   0.289855 0.204082  0.239521       98
       rocket   0.188679 0.104167  0.134228       96
         rose   0.241135 0.350515  0.285714       97
          sea   0.456522 0.420000  0.437500      100
         seal   0.055556 0.031250  0.040000       96
        shark   0.203297 0.385417  0.266187       96
        shrew   0.045198 0.083333  0.058608       96
        skunk   0.126214 0.132653  0.129353       98
   skyscraper   0.219780 0.206186  0.212766       97
        snail   0.157895 0.030928  0.051724       97
        snake   0.090909 0.030928  0.046154       97
       spider   0.080808 0.083333  0.082051       96
     squirrel   0.000000 0.000000  0.000000       95
    streetcar   0.294872 0.234694  0.261364       98
    sunflower   0.385093 0.652632  0.484375       95
 sweet_pepper   0.133333 0.020408  0.035398       98
        table   0.113636 0.102041  0.107527       98
         tank   0.177966 0.216495  0.195349       97
    telephone   0.000000 0.000000  0.000000       95
   television   0.269231 0.432990  0.332016       97
        tiger   0.088773 0.340000  0.140787      100
      tractor   0.161905 0.175258  0.168317       97
        train   0.200000 0.010309  0.019608       97
        trout   0.000000 0.000000  0.000000       97
        tulip   0.129032 0.081633  0.100000       98
       turtle   0.200000 0.010000  0.019048      100
     wardrobe   0.371951 0.616162  0.463878       99
        whale   0.210084 0.257732  0.231481       97
  willow_tree   0.144330 0.285714  0.191781       98
         wolf   0.079897 0.329787  0.128631       94
        woman   0.153846 0.041667  0.065574       96
         worm   0.083333 0.010526  0.018692       95

Global Metrics:
            Metric    Score
          Macro F1 0.140447
Weighted Precision 0.158818
   Weighted Recall 0.172595
       Weighted F1 0.140734
============================================================

Experiment: custom | Dataset: cifar10
------------------------------------------------------------

Class-wise Metrics:
     Class  Precision   Recall  F1-Score  Support
  airplane   0.665432 0.557971  0.606982      966
automobile   0.771845 0.654995  0.708635      971
      bird   0.424725 0.358101  0.388578      969
       cat   0.409283 0.198770  0.267586      976
      deer   0.495247 0.534908  0.514314      974
       dog   0.448645 0.647119  0.529907      972
      frog   0.585065 0.774720  0.666667      981
     horse   0.658458 0.632066  0.644992      973
      ship   0.646465 0.791753  0.711770      970
     truck   0.699353 0.664959  0.681723      976

Global Metrics:
            Metric    Score
          Macro F1 0.572115
Weighted Precision 0.580387
   Weighted Recall 0.581620
       Weighted F1 0.572111
============================================================

Experiment: custom | Dataset: stl10
------------------------------------------------------------

Class-wise Metrics:
   Class  Precision   Recall  F1-Score  Support
airplane   0.494217 0.608021  0.545244      773
    bird   0.327759 0.379845  0.351885      774
     car   0.388166 0.427640  0.406948      767
     cat   0.304688 0.050715  0.086957      769
    deer   0.222775 0.528871  0.313497      762
     dog   0.263889 0.024804  0.045346      766
   horse   0.293718 0.223803  0.254038      773
  monkey   0.220960 0.227568  0.224215      769
    ship   0.471744 0.500652  0.485769      767
   truck   0.430396 0.443421  0.436811      760

Global Metrics:
            Metric    Score
          Macro F1 0.315071
Weighted Precision 0.341866
   Weighted Recall 0.341406
       Weighted F1 0.315079
============================================================

Experiment: frcnn | Dataset: cifar10
------------------------------------------------------------

Class-wise Metrics:
     Class  Precision   Recall  F1-Score  Support
  airplane   0.801835 0.904762  0.850195      966
automobile   0.900208 0.891864  0.896017      971
      bird   0.815135 0.778122  0.796199      969
       cat   0.735225 0.637295  0.682766      976
      deer   0.834911 0.815195  0.824935      974
       dog   0.802912 0.737654  0.768901      972
      frog   0.867961 0.911315  0.889110      981
     horse   0.831429 0.897225  0.863075      973
      ship   0.908714 0.903093  0.905895      970
     truck   0.868240 0.904713  0.886101      976

Global Metrics:
            Metric    Score
          Macro F1 0.836319
Weighted Precision 0.836663
   Weighted Recall 0.838096
       Weighted F1 0.836309
============================================================

